,feature,bin,min,eq_max,percent_to_total
0,SUM_PROMO_last90,1,,11846.059,0.6413043478260869
1,SUM_PROMO_last90,2,11846.059,23692.118,0.19953416149068323
2,SUM_PROMO_last90,3,23692.118,35538.176999999996,0.07880434782608696
3,SUM_PROMO_last90,4,35538.176999999996,47384.236,0.035326086956521736
4,SUM_PROMO_last90,5,47384.236,59230.295,0.022903726708074536
5,SUM_PROMO_last90,6,59230.295,71076.35399999999,0.006211180124223602
6,SUM_PROMO_last90,7,71076.35399999999,82922.413,0.004658385093167702
7,SUM_PROMO_last90,8,82922.413,94768.472,0.005822981366459627
8,SUM_PROMO_last90,9,94768.472,106614.53099999999,0.005046583850931677
9,SUM_PROMO_last90,10,106614.53099999999,,0.00038819875776397513
10,SUM_GMV_last90,1,,59230.297,0.609472049689441
11,SUM_GMV_last90,2,59230.297,118460.594,0.20186335403726707
12,SUM_GMV_last90,3,118460.594,177690.891,0.09394409937888198
13,SUM_GMV_last90,4,177690.891,236921.188,0.03765527950310559
14,SUM_GMV_last90,5,236921.188,296151.485,0.02872670807453416
15,SUM_GMV_last90,6,296151.485,355381.782,0.008152173913043478
16,SUM_GMV_last90,7,355381.782,414612.07899999997,0.005046583850931677
17,SUM_GMV_last90,8,414612.07899999997,473842.376,0.0038819875776397515
18,SUM_GMV_last90,9,473842.376,533072.673,0.005822981366459627
19,SUM_GMV_last90,10,533072.673,,0.005434782608695652
20,SUM_PROMO_last30days,1,,8412.881,0.8020186335403726
21,SUM_PROMO_last30days,2,8412.881,16825.762,0.13159937888198758
22,SUM_PROMO_last30days,3,16825.762,25238.642999999996,0.03765527950310559
23,SUM_PROMO_last30days,4,25238.642999999996,33651.524,0.016304347826086956
24,SUM_PROMO_last30days,5,33651.524,42064.405,0.006599378881987578
25,SUM_PROMO_last30days,6,42064.405,50477.28599999999,0.002329192546583851
26,SUM_PROMO_last30days,7,50477.28599999999,58890.166999999994,0.0019409937888198758
27,SUM_PROMO_last30days,8,58890.166999999994,67303.048,0.0007763975155279503
28,SUM_PROMO_last30days,9,67303.048,75715.92899999999,0.00038819875776397513
29,SUM_PROMO_last30days,10,75715.92899999999,,0.00038819875776397513
30,SUM_PRDTRX_last30days,1,,4.1,0.5427018633540373
31,SUM_PRDTRX_last30days,2,4.1,8.2,0.22981366459627328
32,SUM_PRDTRX_last30days,3,8.2,12.299999999999999,0.12422360248447205
33,SUM_PRDTRX_last30days,4,12.299999999999999,16.4,0.057065217391304345
34,SUM_PRDTRX_last30days,5,16.4,20.5,0.027562111801242236
35,SUM_PRDTRX_last30days,6,20.5,24.599999999999998,0.008152173913043478
36,SUM_PRDTRX_last30days,7,24.599999999999998,28.699999999999996,0.004658385093167702
37,SUM_PRDTRX_last30days,8,28.699999999999996,32.8,0.0015527950310559005
38,SUM_PRDTRX_last30days,9,32.8,36.9,0.0011645962732919255
39,SUM_PRDTRX_last30days,10,36.9,,0.003105590062111801
40,SUM_PRDTRX_PROMO_last30days,1,,4.1,0.5442546583850931
41,SUM_PRDTRX_PROMO_last30days,2,4.1,8.2,0.22826086956521738
42,SUM_PRDTRX_PROMO_last30days,3,8.2,12.299999999999999,0.12422360248447205
43,SUM_PRDTRX_PROMO_last30days,4,12.299999999999999,16.4,0.057065217391304345
44,SUM_PRDTRX_PROMO_last30days,5,16.4,20.5,0.027562111801242236
45,SUM_PRDTRX_PROMO_last30days,6,20.5,24.599999999999998,0.008152173913043478
46,SUM_PRDTRX_PROMO_last30days,7,24.599999999999998,28.699999999999996,0.004658385093167702
47,SUM_PRDTRX_PROMO_last30days,8,28.699999999999996,32.8,0.0015527950310559005
48,SUM_PRDTRX_PROMO_last30days,9,32.8,36.9,0.0011645962732919255
49,SUM_PRDTRX_PROMO_last30days,10,36.9,,0.003105590062111801
50,SUM_GMV_last30days,1,,42064.407,0.7721273291925466
51,SUM_GMV_last30days,2,42064.407,84128.814,0.15372670807453417
52,SUM_GMV_last30days,3,84128.814,126193.22099999999,0.03299689440993789
53,SUM_GMV_last30days,4,126193.22099999999,168257.628,0.023680124223602484
54,SUM_GMV_last30days,5,168257.628,210322.035,0.010869565217391304
55,SUM_GMV_last30days,6,210322.035,252386.44199999998,0.002329192546583851
56,SUM_GMV_last30days,7,252386.44199999998,294450.849,0.0011645962732919255
57,SUM_GMV_last30days,8,294450.849,336515.256,0.0019409937888198758
58,SUM_GMV_last30days,9,336515.256,378579.663,0.00038819875776397513
59,SUM_GMV_last30days,10,378579.663,,0.0007763975155279503
60,SUM_GMV_growth,1,,9.766,0.9604037267080745
61,SUM_GMV_growth,2,9.766,19.532,0.023291925465838508
62,SUM_GMV_growth,3,19.532,29.298000000000002,0.01125776397515528
63,SUM_GMV_growth,4,29.298000000000002,39.064,0.003105590062111801
64,SUM_GMV_growth,5,39.064,48.83,0.00038819875776397513
65,SUM_GMV_growth,6,48.83,58.596000000000004,0.00038819875776397513
66,SUM_GMV_growth,7,58.596000000000004,68.362,0.0007763975155279503
67,SUM_GMV_growth,8,68.362,78.128,
68,SUM_GMV_growth,9,78.128,87.894,
69,SUM_GMV_growth,10,87.894,,0.00038819875776397513
70,PROMO_ratio_last30days,1,,0.02,0.16071428571428573
71,PROMO_ratio_last30days,2,0.02,0.04,0.00038819875776397513
72,PROMO_ratio_last30days,3,0.04,0.06,0.00038819875776397513
73,PROMO_ratio_last30days,4,0.06,0.08,0.00038819875776397513
74,PROMO_ratio_last30days,5,0.08,0.1,0.00038819875776397513
75,PROMO_ratio_last30days,6,0.1,0.12,0.0011645962732919255
76,PROMO_ratio_last30days,7,0.12,0.14,0.00038819875776397513
77,PROMO_ratio_last30days,8,0.14,0.16,0.0038819875776397515
78,PROMO_ratio_last30days,9,0.16,0.18,0.3513198757763975
79,PROMO_ratio_last30days,10,0.18,,0.48097826086956524
80,SUM_PROMO_growth,1,,9.766,0.9650621118012422
81,SUM_PROMO_growth,2,9.766,19.532,0.020574534161490684
82,SUM_PROMO_growth,3,19.532,29.298000000000002,0.01048136645962733
83,SUM_PROMO_growth,4,29.298000000000002,39.064,0.0019409937888198758
84,SUM_PROMO_growth,5,39.064,48.83,0.00038819875776397513
85,SUM_PROMO_growth,6,48.83,58.596000000000004,0.00038819875776397513
86,SUM_PROMO_growth,7,58.596000000000004,68.362,0.0007763975155279503
87,SUM_PROMO_growth,8,68.362,78.128,
88,SUM_PROMO_growth,9,78.128,87.894,
89,SUM_PROMO_growth,10,87.894,,0.00038819875776397513
90,proba,1,,0.07456727106346644,0.5229037267080745
91,proba,2,0.07456727106346644,0.13656727106346644,0.18167701863354038
92,proba,3,0.13656727106346644,0.19856727106346647,0.08579192546583851
93,proba,4,0.19856727106346647,0.26056727106346644,0.03299689440993789
94,proba,5,0.26056727106346644,0.3225672710634665,0.01358695652173913
95,proba,6,0.3225672710634665,0.3845672710634665,0.021350931677018632
96,proba,7,0.3845672710634665,0.4465672710634665,0.03998447204968944
97,proba,8,0.4465672710634665,0.5085672710634664,0.023291925465838508
98,proba,9,0.5085672710634664,0.5705672710634665,0.011645962732919254
99,proba,10,0.5705672710634665,,0.06677018633540373
100,n_month_active,0,0.0,0.0,0.2911490683229814
101,n_month_active,1,1.0,1.0,0.2220496894409938
102,n_month_active,2,2.0,2.0,0.11568322981366459
103,n_month_active,3,3.0,3.0,0.37111801242236025
